2026-06-05 00:50:21.900 | INFO     | awslabs.aws_support_mcp_server.server:main:1048 | 8544234560:18551 | {'diagnostics': True} - Starting AWS Support MCP Server with stdio transport
2026-06-08 21:42:55.479 | INFO     | awslabs.aws_support_mcp_server.server:main:1028 | 8544234560:55029 | {'diagnostics': True} - AWS Support MCP Server starting up. Log file: /Users/brad.williamson/Development/Mayhem/logs/mcp_support_server.log
2026-06-08 21:42:55.479 | INFO     | awslabs.aws_support_mcp_server.server:main:1030 | 8544234560:55029 | {'diagnostics': True} - Debug mode: True
2026-06-08 21:42:55.479 | DEBUG    | awslabs.aws_support_mcp_server.server:main:1034 | 8544234560:55029 | {'diagnostics': True} - Enabling detailed performance tracking and error monitoring
2026-06-08 21:42:55.479 | DEBUG    | awslabs.aws_support_mcp_server.server:main:1042 | 8544234560:55029 | {'diagnostics': True} - FastMCP debug setting not available on this version
2026-06-08 21:42:55.480 | DEBUG    | awslabs.aws_support_mcp_server.server:main:1045 | 8544234560:55029 | {'diagnostics': True} - Starting awslabs_support_mcp_server MCP server
2026-06-08 21:42:55.480 | INFO     | awslabs.aws_support_mcp_server.server:main:1048 | 8544234560:55029 | {'diagnostics': True} - Starting AWS Support MCP Server with stdio transport
2026-06-17 22:20:29.370 | INFO     | awslabs.aws_support_mcp_server.server:main:1028 | 8544234560:42881 | {'diagnostics': True} - AWS Support MCP Server starting up. Log file: /Users/brad.williamson/Development/Mayhem/logs/mcp_support_server.log
2026-06-17 22:20:29.371 | INFO     | awslabs.aws_support_mcp_server.server:main:1030 | 8544234560:42881 | {'diagnostics': True} - Debug mode: True
2026-06-17 22:20:29.371 | DEBUG    | awslabs.aws_support_mcp_server.server:main:1034 | 8544234560:42881 | {'diagnostics': True} - Enabling detailed performance tracking and error monitoring
2026-06-17 22:20:29.371 | DEBUG    | awslabs.aws_support_mcp_server.server:main:1042 | 8544234560:42881 | {'diagnostics': True} - FastMCP debug setting not available on this version
2026-06-17 22:20:29.371 | DEBUG    | awslabs.aws_support_mcp_server.server:main:1045 | 8544234560:42881 | {'diagnostics': True} - Starting awslabs_support_mcp_server MCP server
2026-06-17 22:20:29.371 | INFO     | awslabs.aws_support_mcp_server.server:main:1048 | 8544234560:42881 | {'diagnostics': True} - Starting AWS Support MCP Server with stdio transport
